Год;N1;N2;N3;N4;N5;N6;N7;N8
1992;2;2;1;2;3;0;1;0
1994;0;1;0;1;0;0;0;0
1998;0;2;1;1;2;1;0;1
2002;0;1;1;3;1;2;0;1
2006;2;2;2;3;2;1;1;1
2010;1;1;2;2;2;0;2;0
2014;1;3;2;0;0;0;1;1
2018;0;1;1;0;0;0;2;2
2022;0;2;0;2;1;1;2;2
