Год;N1;N2;N3;N4;N5;N6;N7;N8
1992;1;0;2;0;0;1;2;0
1994;1;0;1;2;1;1;0;1
1998;3;2;3;2;1;1;1;0
2002;2;1;4;4;1;1;1;0
2006;2;3;3;0;0;1;0;2
2010;0;0;0;3;2;2;0;0
2014;2;1;0;1;1;2;1;0
2018;3;0;1;1;0;1;1;0
2022;2;1;1;0;2;0;1;1
