Год;Россия;США;Австрия;Канада;Великобритания;Швеция;Франция
2020;28;41;1;6;21;6;12
2016;18;37;0;3;23;6;18
2012;24;28;0;5;17;4;11
2008;21;38;1;9;13;4;16
2004;26;39;4;6;9;2;9
2000;28;24;1;3;10;5;14
