Год;Россия;США;Австрия;Канада;Великобритания;Швеция;Франция
2020;20;39;1;7;22;3;10
2016;19;46;0;4;27;2;10
2012;22;46;0;1;29;1;11
2008;23;36;0;3;19;0;7
2004;28;36;2;3;9;4;11
2000;32;37;2;3;11;4;13
